company_id,final_score,trajectory,persistence,group_id,country,currency,erp,created_at,base_score,base_score_band,behavioral_cohort,group_size_in_sample,group_erp,coverage_pct,months_available,currency_scope,rule_version,data_cutoff,primary_fallback_used,drift_fallback_used
COMP_0022,67.7,stable,unconfirmed,GROUP_0065,,EUR,,2024-10-10 11:08:11,67.7,60-70,60-70|stable,13,Netsuite,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0023,79.8,stable,unconfirmed,GROUP_0237,BE,EUR,netsuite,2025-05-28 19:51:42,79.8,70-80,70-80|stable,5,,0.94,18,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0024,77.5,stable,unconfirmed,GROUP_0222,,EUR,businessCentral,2025-01-16 09:08:10,77.5,70-80,70-80|stable,22,,1.0,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0025,,insufficient_data,unconfirmed,GROUP_0211,,USD,netsuite,2024-12-13 11:07:00,,,,15,Netsuite,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0026,80.6,stable,unconfirmed,GROUP_0236,,EUR,,2026-03-02 13:56:10,80.6,80-90,80-90|stable,17,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0027,72.6,improving,confirmed,GROUP_0241,,EUR,businessCentral,2026-05-08 13:36:32,70.0,70-80,70-80|improving,7,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0028,72.9,improving,unconfirmed,GROUP_0218,ES,EUR,businessCentral,2024-02-01 16:43:14,72.9,70-80,70-80|improving,16,Microsoft Navision,0.0,17,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0029,100.0,insufficient_data,unconfirmed,GROUP_0013,,EUR,sageX3,2024-05-23 10:02:55,100.0,90-100,,12,Sage X3,0.0,1,EUR_only,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0030,,insufficient_data,unconfirmed,GROUP_0126,,EUR,m3Rosetta,2024-05-21 08:10:04,,,,11,Infor M3 ,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0031,74.2,stable,unconfirmed,GROUP_0035,ES,EUR,businessCentral,2025-12-26 13:05:31,74.2,70-80,70-80|stable,14,Microsoft Business Central,0.89,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0032,61.9,deteriorating,unconfirmed,GROUP_0094,,EUR,netsuite,2024-11-07 09:57:25,61.9,60-70,60-70|deteriorating,13,Netsuite,0.0,11,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0033,99.8,stable,unconfirmed,GROUP_0130,FR,EUR,,2025-11-19 15:36:16,99.8,90-100,90-100|stable,9,,1.0,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0034,59.3,stable,unconfirmed,GROUP_0172,,EUR,,2025-05-22 14:21:20,59.3,50-60,50-60|stable,21,,1.0,18,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0035,60.0,stable,unconfirmed,GROUP_0115,,EUR,,2022-11-14 14:21:28,60.0,60-70,60-70|stable,12,,0.0,23,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0036,78.5,deteriorating,unconfirmed,GROUP_0103,,EUR,,2025-03-13 11:06:51,78.5,70-80,70-80|deteriorating,16,,1.0,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0037,65.6,deteriorating,unconfirmed,GROUP_0222,,EUR,businessCentral,2025-01-16 09:11:57,65.6,60-70,60-70|deteriorating,22,,0.9,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0038,57.1,improving,unconfirmed,GROUP_0104,,EUR,,2026-02-27 16:09:11,57.1,50-60,50-60|improving,10,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0039,100.0,stable,unconfirmed,GROUP_0225,,EUR,businessCentral,2025-09-21 10:00:44,100.0,90-100,90-100|stable,4,,0.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0040,88.2,stable,unconfirmed,GROUP_0178,,EUR,,2026-03-09 11:59:24,88.2,80-90,80-90|stable,2,,0.71,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0041,58.9,improving,unconfirmed,GROUP_0149,,EUR,m3Rosetta,2026-02-16 09:42:04,58.9,50-60,50-60|improving,13,MOVEX,0.89,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0042,72.2,deteriorating,unconfirmed,GROUP_0162,US,USD,businessOne,2022-04-06 12:52:02,72.2,70-80,70-80|deteriorating,8,SAP Business One,0.0,18,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0043,40.4,deteriorating,unconfirmed,GROUP_0185,,EUR,businessCentral,2026-02-27 09:49:47,40.4,40-50,40-50|deteriorating,11,,1.0,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0044,63.9,improving,unconfirmed,GROUP_0241,,EUR,businessCentral,2026-05-08 13:37:47,63.9,60-70,60-70|improving,7,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0045,100.0,improving,unconfirmed,GROUP_0242,,EUR,,2026-03-12 07:53:41,100.0,90-100,90-100|improving,1,Microsoft Dynamics - AX 2012,0.0,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0046,,insufficient_data,unconfirmed,GROUP_0062,,EUR,a3,2025-10-15 11:56:29,,,,1,A3 ERP,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0047,75.2,improving,unconfirmed,GROUP_0018,,EUR,businessCentral,2025-09-02 07:35:08,75.2,70-80,70-80|improving,12,,1.0,19,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0048,64.6,improving,unconfirmed,GROUP_0241,,EUR,businessCentral,2026-05-08 13:38:55,64.6,60-70,60-70|improving,7,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0049,88.8,improving,unconfirmed,GROUP_0180,,EUR,businessCentral,2025-01-13 10:22:41,88.8,80-90,80-90|improving,1,Microsoft Business Central,1.0,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0050,,insufficient_data,unconfirmed,GROUP_0230,,USD,r3,2025-10-31 12:21:37,,,,7,,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0051,64.6,improving,unconfirmed,GROUP_0163,,EUR,navision,2024-02-13 09:25:17,64.6,60-70,60-70|improving,3,Microsoft Navision,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0052,93.8,improving,confirmed,GROUP_0142,,EUR,,2024-09-10 18:40:39,87.6,80-90,80-90|improving,22,Sage 50,0.83,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0053,77.2,deteriorating,unconfirmed,GROUP_0174,,EUR,dynamicsAx,2026-04-24 11:29:56,77.2,70-80,70-80|deteriorating,3,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0054,65.4,deteriorating,confirmed,GROUP_0217,,EUR,businessCentral,2025-04-04 07:56:59,72.6,70-80,70-80|deteriorating,22,,1.0,19,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0055,89.0,improving,unconfirmed,GROUP_0131,,EUR,r3,2025-11-06 09:04:51,89.0,80-90,80-90|improving,9,,0.38,13,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0056,68.3,deteriorating,unconfirmed,GROUP_0234,,EUR,businessOne,2025-10-20 09:18:46,68.3,60-70,60-70|deteriorating,6,,0.8,10,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0057,,insufficient_data,unconfirmed,GROUP_0122,,CAD,netsuite,2026-02-24 15:37:09,,,,8,,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0058,72.1,stable,unconfirmed,GROUP_0104,ES,EUR,libra,2026-02-27 16:06:46,72.1,70-80,70-80|stable,10,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0059,88.9,deteriorating,unconfirmed,GROUP_0101,,EUR,,2024-11-04 14:56:20,88.9,80-90,80-90|deteriorating,18,,0.5,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0060,79.2,improving,confirmed,GROUP_0112,,EUR,businessCentral,2024-06-11 13:43:19,73.3,70-80,70-80|improving,12,Microsoft Business Central,0.11,19,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0061,83.2,deteriorating,unconfirmed,GROUP_0022,,EUR,,2025-11-17 11:28:56,83.2,80-90,80-90|deteriorating,13,Netsuite,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0062,50.0,improving,unconfirmed,GROUP_0165,,EUR,,2025-12-18 10:58:43,50.0,50-60,50-60|improving,4,,1.0,16,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0063,84.4,improving,confirmed,GROUP_0011,,EUR,,2026-01-20 21:39:27,77.2,70-80,70-80|improving,10,,1.0,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0064,68.3,deteriorating,confirmed,GROUP_0174,,EUR,dynamicsAx,2026-04-24 11:28:49,78.3,70-80,70-80|deteriorating,3,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0065,74.9,deteriorating,unconfirmed,GROUP_0139,ES,EUR,businessCentral,2024-06-24 17:11:58,74.9,70-80,70-80|deteriorating,5,Microsoft Business Central,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0066,66.4,improving,unconfirmed,GROUP_0115,,EUR,,2022-11-14 14:21:56,66.4,60-70,60-70|improving,12,,0.25,12,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0067,66.8,deteriorating,confirmed,GROUP_0064,,EUR,,2026-03-10 11:56:38,69.9,60-70,60-70|deteriorating,12,,0.0,11,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0068,70.2,deteriorating,unconfirmed,GROUP_0142,,EUR,,2024-09-10 18:42:08,70.2,70-80,70-80|deteriorating,22,Sage 50,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0069,,insufficient_data,unconfirmed,GROUP_0175,,DKK,netsuite,2025-09-23 12:29:28,,,,6,,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0070,93.3,deteriorating,unconfirmed,GROUP_0230,,EUR,r3,2025-10-31 12:20:53,93.3,90-100,90-100|deteriorating,7,,0.9,10,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0071,59.3,stable,unconfirmed,GROUP_0102,,EUR,,2025-01-20 10:47:19,59.3,50-60,50-60|stable,4,Microsoft Business Central,0.35,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0072,60.0,insufficient_data,unconfirmed,GROUP_0003,,GBP,businessOne,2026-03-17 14:36:02,60.0,60-70,,4,,0.0,1,EUR_only,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0073,99.7,improving,unconfirmed,GROUP_0101,,EUR,,2024-11-04 14:33:11,99.7,90-100,90-100|improving,18,,0.04,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0074,66.7,stable,unconfirmed,GROUP_0088,,EUR,sageX3,2025-02-20 13:31:50,66.7,60-70,60-70|stable,5,Sage X3,1.0,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0075,52.5,deteriorating,confirmed,GROUP_0115,,EUR,,2022-08-18 10:50:20,56.6,50-60,50-60|deteriorating,12,,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0076,88.1,improving,unconfirmed,GROUP_0146,ES,EUR,,2024-09-23 13:53:22,88.1,80-90,80-90|improving,6,Sage 200,0.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0077,90.2,improving,unconfirmed,GROUP_0213,,EUR,businessCentral,2024-01-12 09:49:17,90.2,90-100,90-100|improving,6,Microsoft Business Central,0.54,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0078,91.5,deteriorating,unconfirmed,GROUP_0246,,EUR,businessCentral,2026-04-14 19:20:57,91.5,90-100,90-100|deteriorating,7,,1.0,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0079,74.3,stable,unconfirmed,GROUP_0203,,EUR,netsuite,2026-02-19 15:44:51,74.3,70-80,70-80|stable,5,,1.0,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0080,90.8,improving,unconfirmed,GROUP_0112,,EUR,,2025-05-19 09:15:57,90.8,90-100,90-100|improving,12,Microsoft Business Central,0.23,13,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0081,79.2,improving,unconfirmed,GROUP_0217,,EUR,businessCentral,2025-04-04 10:25:18,79.2,70-80,70-80|improving,22,,1.0,19,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0082,62.5,stable,unconfirmed,GROUP_0172,,EUR,,2025-05-22 14:22:20,62.5,60-70,60-70|stable,21,,1.0,18,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0083,93.3,improving,unconfirmed,GROUP_0133,,EUR,businessCentral,2026-03-19 09:17:48,93.3,90-100,90-100|improving,2,,0.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0084,74.7,improving,unconfirmed,GROUP_0138,,EUR,dynamicsAx,2026-04-08 10:34:25,74.7,70-80,70-80|improving,18,,1.0,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0085,97.7,deteriorating,unconfirmed,GROUP_0155,PT,EUR,etendo,2023-01-13 09:56:14,97.7,90-100,90-100|deteriorating,11,Etendo,0.39,23,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0086,59.4,deteriorating,unconfirmed,GROUP_0168,,EUR,,2026-06-17 16:19:41,59.4,50-60,50-60|deteriorating,2,,0.8,5,EUR_only,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0087,70.4,improving,unconfirmed,GROUP_0065,,EUR,,2024-10-10 09:07:45,70.4,70-80,70-80|improving,13,Netsuite,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0088,60.1,stable,unconfirmed,GROUP_0172,,EUR,,2025-05-22 14:20:41,60.1,60-70,60-70|stable,21,,0.94,18,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0089,63.3,stable,unconfirmed,GROUP_0153,,EUR,sage200,2023-08-02 08:07:06,63.3,60-70,60-70|stable,6,Sage 200,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0090,78.7,stable,unconfirmed,GROUP_0116,,EUR,netsuite,2023-08-17 15:15:00,78.7,70-80,70-80|stable,8,Netsuite,0.15,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0091,90.8,deteriorating,unconfirmed,GROUP_0237,,EUR,netsuite,2025-06-30 13:56:17,90.8,90-100,90-100|deteriorating,5,,1.0,16,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0092,72.9,deteriorating,unconfirmed,GROUP_0159,,EUR,,2024-09-25 07:07:53,72.9,70-80,70-80|deteriorating,13,,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0093,,insufficient_data,unconfirmed,GROUP_0149,,GBP,m3Rosetta,2026-02-16 10:35:01,,,,13,MOVEX,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0094,87.6,improving,unconfirmed,GROUP_0021,,EUR,a3,2023-11-08 10:02:54,87.6,80-90,80-90|improving,3,A3 ERP,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0095,73.3,improving,unconfirmed,GROUP_0240,,EUR,sageX3,2025-10-21 07:04:38,73.3,70-80,70-80|improving,1,,0.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0096,60.6,improving,unconfirmed,GROUP_0217,,EUR,businessCentral,2025-04-04 08:00:37,60.6,60-70,60-70|improving,22,,0.38,16,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0097,,insufficient_data,unconfirmed,GROUP_0170,,USD,,2025-06-10 11:03:23,,,,16,,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0098,100.0,improving,unconfirmed,GROUP_0132,,EUR,netsuite,2024-03-15 09:24:50,100.0,90-100,90-100|improving,18,Netsuite,0.1,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0099,60.3,improving,unconfirmed,GROUP_0238,ESPAÑA,EUR,sage200,2023-10-06 11:07:45,60.3,60-70,60-70|improving,4,Sage 200,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0100,87.1,stable,unconfirmed,GROUP_0129,,EUR,businessCentral,2025-04-21 12:32:25,87.1,80-90,80-90|stable,6,Microsoft Business Central,0.8,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0101,84.8,improving,unconfirmed,GROUP_0108,ES,EUR,businessCentral,2024-12-09 16:35:59,84.8,80-90,80-90|improving,19,Microsoft Business Central,1.0,23,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0102,78.3,deteriorating,unconfirmed,GROUP_0158,,EUR,,2023-05-02 09:28:46,78.3,70-80,70-80|deteriorating,21,,0.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0103,60.0,deteriorating,unconfirmed,GROUP_0170,,EUR,,2025-06-10 11:02:20,60.0,60-70,60-70|deteriorating,16,,0.47,17,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0104,,insufficient_data,unconfirmed,GROUP_0173,,NZD,businessCentral,2026-01-21 17:04:35,,,,3,,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0105,67.9,deteriorating,confirmed,GROUP_0079,,EUR,dynamicsAx,2024-11-28 10:31:01,70.2,70-80,70-80|deteriorating,15,Microsoft Dynamics - AX 2009,1.0,23,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0106,53.3,deteriorating,unconfirmed,GROUP_0022,,EUR,netsuite,2024-07-29 14:28:46,53.3,50-60,50-60|deteriorating,13,Netsuite,0.0,23,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0107,,insufficient_data,unconfirmed,GROUP_0094,,PEN,netsuite,2024-11-07 16:31:50,,,,13,Netsuite,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0108,59.8,stable,unconfirmed,GROUP_0179,,EUR,,2025-10-29 10:14:26,59.8,50-60,50-60|stable,7,,0.5,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0109,100.0,improving,confirmed,GROUP_0170,,EUR,,2025-06-10 11:02:50,99.5,90-100,90-100|improving,16,,1.0,17,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0110,100.0,improving,confirmed,GROUP_0008,,EUR,businessCentral,2026-04-01 14:13:36,100.0,90-100,90-100|improving,6,,0.29,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0111,83.3,deteriorating,unconfirmed,GROUP_0243,,EUR,,2026-04-22 08:01:45,83.3,80-90,80-90|deteriorating,5,,0.71,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0112,79.1,improving,unconfirmed,GROUP_0222,,EUR,businessCentral,2025-01-16 09:06:17,79.1,70-80,70-80|improving,22,,1.0,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0113,66.7,stable,unconfirmed,GROUP_0070,ES,EUR,businessCentral,2023-03-21 09:08:12,66.7,60-70,60-70|stable,18,Microsoft Business Central,0.75,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0114,56.7,deteriorating,confirmed,GROUP_0044,,EUR,businessCentral,2026-06-19 11:59:26,66.7,60-70,60-70|deteriorating,13,,0.0,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0115,81.9,deteriorating,unconfirmed,GROUP_0095,,EUR,,2025-11-26 14:28:41,81.9,80-90,80-90|deteriorating,12,,0.45,20,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0116,87.3,improving,unconfirmed,GROUP_0195,,EUR,businessCentral,2026-01-09 10:37:04,87.3,80-90,80-90|improving,6,,1.0,12,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0117,83.5,improving,confirmed,GROUP_0101,,EUR,,2024-11-04 14:54:13,73.5,70-80,70-80|improving,18,,0.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0118,60.3,stable,unconfirmed,GROUP_0138,,EUR,dynamicsAx,2026-04-08 10:35:10,60.3,60-70,60-70|stable,18,,1.0,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0119,76.8,deteriorating,unconfirmed,GROUP_0048,,EUR,businessCentral,2026-03-10 16:47:59,76.8,70-80,70-80|deteriorating,10,,1.0,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0120,93.3,improving,unconfirmed,GROUP_0210,DE,EUR,netsuite,2026-06-19 15:25:26,93.3,90-100,90-100|improving,2,,0.83,6,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0121,72.8,improving,unconfirmed,GROUP_0158,,EUR,,2023-05-02 09:29:24,72.8,70-80,70-80|improving,21,,0.58,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0122,93.6,deteriorating,unconfirmed,GROUP_0086,,EUR,,2024-10-18 10:51:36,93.6,90-100,90-100|deteriorating,5,Microsoft Dynamics - F&O,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0123,93.1,improving,confirmed,GROUP_0153,,EUR,sage200,2023-08-02 08:07:53,83.1,80-90,80-90|improving,6,Sage 200,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0124,59.6,stable,unconfirmed,GROUP_0136,,EUR,netsuite,2026-05-26 15:22:27,59.6,50-60,50-60|stable,2,,0.88,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0125,86.7,deteriorating,unconfirmed,GROUP_0250,,EUR,distritoK,2022-04-22 11:30:27,86.7,80-90,80-90|deteriorating,19,Distrito K,0.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0126,66.4,deteriorating,unconfirmed,GROUP_0220,,EUR,navision,2024-03-21 16:23:10,66.4,60-70,60-70|deteriorating,6,Microsoft Navision,1.0,21,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0127,,insufficient_data,unconfirmed,GROUP_0064,,EUR,,2026-05-06 14:42:42,,,,12,,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
